,planning_area,subzone,region,tree cover,shrubland,grassland,cropland,built-up,bare / sparse vegetation,snow and ice,permanent water bodies,herbaceous wetland,mangroves,moss and lichen,min_ndvi,mean_ndvi,max_ndvi
0,BUKIT MERAH,DEPOT ROAD,CENTRAL REGION,18,0,0,0,27,1,0,0,0,0,0,0.09212378474401305,0.19787668044475057,0.3004344145511986
1,BUKIT MERAH,BUKIT MERAH,CENTRAL REGION,13,0,1,0,29,1,0,0,0,0,0,0.07916134412827491,0.16906888659967953,0.24631075159417212
2,OUTRAM,CHINATOWN,CENTRAL REGION,6,0,1,0,53,1,0,1,0,0,0,0.04371251033075033,0.09754390599143668,0.14051442218795085
3,DOWNTOWN CORE,PHILLIP,CENTRAL REGION,1,0,0,0,4,1,0,1,0,0,0,0.03979514159771226,0.08574822903504715,0.12666961671032517
4,DOWNTOWN CORE,RAFFLES PLACE,CENTRAL REGION,1,0,1,0,17,1,0,2,0,0,0,0.04152273809782756,0.08863482179828502,0.13362298626693336
5,OUTRAM,CHINA SQUARE,CENTRAL REGION,1,0,0,0,13,1,0,1,0,0,0,0.042257766348912436,0.09219419437331632,0.1370421421768911
6,BUKIT MERAH,TIONG BAHRU,CENTRAL REGION,10,0,1,0,35,1,0,0,0,0,0,0.06418200454971547,0.13709247056794732,0.2073718222370575
7,DOWNTOWN CORE,BAYFRONT SUBZONE,CENTRAL REGION,4,0,4,1,21,5,0,20,0,0,0,0.05952820359025058,0.13011201029833291,0.19977877852043896
8,BUKIT MERAH,TIONG BAHRU STATION,CENTRAL REGION,12,0,1,0,24,1,0,1,0,0,0,0.07281914734155188,0.1482619579160364,0.20996257905278182
9,DOWNTOWN CORE,CLIFFORD PIER,CENTRAL REGION,1,0,1,0,8,1,0,18,0,0,0,0.046670772663470514,0.09515996465884584,0.14371532499234177
10,MARINA SOUTH,MARINA SOUTH,CENTRAL REGION,69,1,33,1,23,4,0,36,0,0,0,0.06904175270383393,0.17149289992464709,0.27154277082212247
11,DOWNTOWN CORE,NICOLL,CENTRAL REGION,15,0,8,0,22,4,0,15,0,0,0,0.058332578996533095,0.12707695662374657,0.1964646624782325
12,MARINA EAST,MARINA EAST,CENTRAL REGION,38,0,87,1,13,4,0,45,1,0,0,0.0688922969796511,0.17628465216035538,0.2866441180501976
13,RIVER VALLEY,INSTITUTION HILL,CENTRAL REGION,9,0,1,0,31,1,0,1,0,0,0,0.0644254323566522,0.13033161107281252,0.1919464702919015
14,SINGAPORE RIVER,ROBERTSON QUAY,CENTRAL REGION,11,0,1,0,34,1,0,6,0,0,0,0.06514741150833273,0.1286193348327127,0.18933269963172325
15,MUSEUM,FORT CANNING,CENTRAL REGION,26,0,3,0,12,1,0,0,0,0,0,0.053310820882174585,0.13599901657454444,0.2070226712530529
16,OUTRAM,PEARL'S HILL,CENTRAL REGION,26,0,2,0,29,1,0,1,0,0,0,0.05783601533767703,0.12069610510403342,0.17898819605968475
17,SINGAPORE RIVER,BOAT QUAY,CENTRAL REGION,2,0,1,0,12,1,0,3,0,0,0,0.04850026125391687,0.10305347993548436,0.15883095582870585
18,BUKIT MERAH,HENDERSON HILL,CENTRAL REGION,26,0,2,0,33,1,0,1,0,0,0,0.0758230651216256,0.1540585591796296,0.23090797874646277
19,BUKIT MERAH,REDHILL,CENTRAL REGION,11,0,1,1,29,1,0,0,0,0,0,0.07035599241323356,0.14837842756005587,0.21835825318030674
20,BUKIT MERAH,ALEXANDRA HILL,CENTRAL REGION,22,0,1,0,82,1,0,0,0,0,0,0.07588890498428515,0.15235866771695994,0.22277818871443383
21,BUKIT MERAH,BUKIT HO SWEE,CENTRAL REGION,18,0,3,0,34,1,0,1,0,0,0,0.07329069018913152,0.14150305885620043,0.20560584961706324
22,SINGAPORE RIVER,CLARKE QUAY,CENTRAL REGION,3,0,2,0,21,1,0,4,0,0,0,0.050411885613701427,0.11378067136762625,0.16975198306042596
23,QUEENSTOWN,PASIR PANJANG 1,CENTRAL REGION,40,0,1,0,69,1,0,0,0,0,0,0.07920310169173445,0.1583380215842156,0.252152882759429
24,QUEENSTOWN,QUEENSWAY,CENTRAL REGION,46,0,2,0,16,1,0,0,0,0,0,0.0789793717909823,0.19588090980374562,0.2930464628393253
25,MARINE PARADE,MARINA EAST (MP),CENTRAL REGION,94,1,17,0,41,7,0,2,0,0,0,0.07620232432593424,0.17891789876804728,0.3013056349197999
26,SOUTHERN ISLANDS,SOUTHERN GROUP,CENTRAL REGION,4,0,1,0,1,1,0,4,0,0,0,0.06375003845133038,0.20729926406021273,0.3926488928466674
27,SOUTHERN ISLANDS,SENTOSA,CENTRAL REGION,62,0,12,1,36,11,0,35,1,0,0,0.06102923528274548,0.16842796689167253,0.2639310953634121
28,BUKIT MERAH,CITY TERMINALS,CENTRAL REGION,34,0,5,1,244,44,0,20,0,0,0,0.03969855394841378,0.0849000401626262,0.12307889927216845
29,DOWNTOWN CORE,ANSON,CENTRAL REGION,1,0,1,0,10,1,0,1,0,0,0,0.042429515864790934,0.08676896170576716,0.1271040965871113
30,STRAITS VIEW,STRAITS VIEW,CENTRAL REGION,19,0,43,1,19,3,0,32,0,0,0,0.06596294201421642,0.14552334143064455,0.2250393135190791
31,BUKIT MERAH,MARITIME SQUARE,CENTRAL REGION,155,0,34,0,72,4,0,8,0,0,0,0.08857287080166477,0.18456326668145018,0.27428482504374085
32,BUKIT MERAH,TELOK BLANGAH RISE,CENTRAL REGION,25,0,1,0,29,1,0,0,0,0,0,0.08466798477935289,0.17983824808411658,0.27241392921454544
33,DOWNTOWN CORE,TANJONG PAGAR,CENTRAL REGION,2,0,1,0,13,1,0,1,0,0,0,0.042227786740650655,0.09274435805347465,0.13620102810579657
